Region,Location,ProgAllowed
Act One: Overground,Find the Missing Shipment 7: Speak to Zarys,TRUE
Act One: Overground,"Find the Missing Shipment 8: Take the chest, open it, or leave it with the survivors",TRUE
Act One: Overground,Find the Missing Shipment 9: Return the chest or kill the Zhentarim,TRUE
Act One: Overground,Rescue the Trapped Man 1: Free Benryn,FALSE
Act One: Overground,Rescue the Trapped Man 2: Get Benryn to safety,FALSE
Act One: Overground,Rescue the Trapped Man 3: Talk to Benryn,FALSE
Act One: Overground,Rescue the Trapped Man 4: Find Miri,FALSE
Act One: Overground,Rescue the Trapped Man 5: Tell Benryn where Miri is,FALSE
Act One: Overground,Rescue the Trapped Man 6: Talk to Benryn in front of Miri,FALSE
Act One: Overground,Rescue the Trapped Man 7: Find the dowry,FALSE
Act One: Overground,Rescue the Trapped Man 8: Return the dowry to Benryn,FALSE
Act One: Overground,Free the Artist 1: Help Oskar escape,FALSE
Act One: Overground,Rescue the Grand Duke 1: Get inside the burning building,TRUE
Act One: Overground,Rescue the Grand Duke 2: Rescue Counselor Florrick,TRUE
Act One: Overground,Rescue the Grand Duke 3: Speak with Counsellor Florick,FALSE
Act One: Overground,Ask the Goblin Priestess for Help 1: Ask Gut for help,TRUE
Act One: Overground,Ask the Goblin Priestess for Help 2: Talk to Gut in her chapel,TRUE
Act One: Overground,Ask the Goblin Priestess for Help 3: Drink Gut's potion,FALSE
Act One: Overground,Rescue Volo 1: Rescue Volo from the goblins,TRUE
Act One: Overground,Rescue Volo 2: Talk to Volo in camp,FALSE
Act One: Underdark,Avenge Glut's Circle 1: Speak with Glut,TRUE
Act One: Underdark,Avenge Glut's Circle 2: Kill the Duergar,TRUE
Act One: Underdark,Avenge Glut's Circle 3: Talk to Glut after killing the Duergar,TRUE
Act One: Underdark,Avenge Glut's Circle 4: Kill Spaw or Glut,TRUE
Act One: Underdark,Avenge Glut's Circle 5: Talk to Glut or Spaw,TRUE
Act One: Underdark,Defeat the Duergar Intruders 1: Kill the Duergar,TRUE
Act One: Underdark,Defeat the Duergar Intruders 2: Talk to the Sovereign,TRUE
Act One: Underdark,Defeat the Duergar Intruders 3: Loot the Guardian Gate,TRUE
Act One: Underdark,Deliver Nere's Head 1: Kill Nere,FALSE
Act One: Underdark,Deliver Nere's Head 2: Behead Nere,FALSE
Act One: Underdark,Deliver Nere's Head 3: Turn Nere's head in with the Sovereign,FALSE
Act One: Underdark,Cure the Poisoned Gnome 1: Meet Thulla,TRUE
Act One: Underdark,Cure the Poisoned Gnome 2: Cure Thulla,TRUE
Act One: Underdark,Find the Missing Boots 1: Meet Thulla,TRUE
Act One: Underdark,Find the Missing Boots 2: Get Boots of Speed from Thulla,TRUE
Act One: Underdark,Find the Missing Boots 3: Give boots to Thrinn,TRUE
Act One: Underdark,Find the Mushroom Picker 1: Talk to Derryth about Baelen,TRUE
Act One: Underdark,Find the Mushroom Picker 2: Save Baelen,FALSE
Act One: Underdark,Find the Mushroom Picker 3: Talk to Baelen after saving him,FALSE
Act One: Underdark,Find the Mushroom Picker 4: Talk to Derryth after saving or killing Baelen,TRUE
Act One: Underdark,Help Omeluum Investigate the Parasite 1: Let Omeluum examine the parasite,TRUE
Act One: Underdark,Help Omeluum Investigate the Parasite 2: Get quest from Omeluum,TRUE
Act One: Underdark,Help Omeluum Investigate the Parasite 3: Return with Tongue of Madness and Timmask Spores,TRUE
Act One: Underdark,Help Omeluum Investigate the Parasite 4: Drink the potion,TRUE
Act One: Underdark,Help Omeluum Investigate the Parasite 5: Get the Ring of Mind Shielding,FALSE
Act One: Underdark,Travel through the Underdark 1: Find the Temple of Selune in the goblin camp,TRUE
Act One: Underdark,Travel through the Underdark 2: Find the secret entrance to the Underdark,TRUE
Act One: Underdark,Travel through the Underdark 3: Unlock the secret entrance to the Underdark,TRUE
Act One: Underdark,Travel through the Underdark 4: Enter the Underdark through the secret entrance,TRUE
Act One: Underdark,Travel through the Underdark 5: Find the lift in Grymforge,TRUE
Act One: Underdark,Travel through the Underdark 6: Reach Moonrise Towers through the Grymforge lift,FALSE
Act One: Grymforge,Blind the Absolute 1: Destroy the Grymforge scrying eye,FALSE
Act One: Grymforge,Find Explosives 1: Talk to the deep gnomes about Philomeen,TRUE
Act One: Grymforge,Find Explosives 2: Find Philomeen,TRUE
Act One: Grymforge,Find Explosives 3: Get the vial of runepowder,FALSE
Act One: Grymforge,Free True Soul Nere 1: Free Nere,TRUE
Act One: Grymforge,Free True Soul Nere 2: Speak to Nere,TRUE
Act One: Grymforge,Free True Soul Nere 3: Defeat Nere's opponents,FALSE
Act One: Grymforge,Free True Soul Nere 4: Talk to Nere,FALSE
Act One: Grymforge,Get Past the Rubble 1: Clear the rubble,TRUE
Act One: Grymforge,Help the Spirit of the Amulet 1: Find the lost amulet,TRUE
Act One: Grymforge,Save the Grymforge Gnomes 1: Find the deep gnome captives,TRUE
Act One: Grymforge,Save the Grymforge Gnomes 2: Free the deep gnomes,FALSE
Act One: Grymforge,Save the Grymforge Gnomes 3: Talk to the deep gnomes,FALSE
Act One: Grymforge,The Adamantine Forge 1: Learn about the existence of the Adamantine Forge,TRUE
Act One: Grymforge,The Adamantine Forge 2: Find the Forge,TRUE
Act One: Grymforge,The Adamantine Forge 3: Pull the levers,TRUE
Act One: Grymforge,The Adamantine Forge 4: Defeat the protector,TRUE
Act One: Grymforge,The Adamantine Forge 5: Forge an item,TRUE
Act One: Creche,Find the Blood of Lathander 1: Find out about the Blood of Lathander,TRUE
Act One: Creche,Find the Blood of Lathander 2: Find the fake Blood of Lathander,TRUE
Act One: Creche,Find the Blood of Lathander 3: Open the Secret Chamber,TRUE
Act One: Creche,Find the Blood of Lathander 4: Find the Dawnmaster's Crest,TRUE
Act One: Creche,Find the Blood of Lathander 5: Get past the traps,TRUE
Act One: Creche,Find the Blood of Lathander 6: Get the Blood of Lathander,TRUE
Act One: Creche,Find the Blood of Lathander 7: Explode the Monastery,FALSE
Act One: Creche,Reclaim the Blue Jay's Nest 1: Kill the eagles,TRUE
Act One: Creche,Reclaim the Blue Jay's Nest 2: Talk to the blue jay,TRUE
Act One: Creche,Steal a Githyanki Egg 1: Talk to Lady Esther,TRUE
Act One: Creche,Steal a Githyanki Egg 2: Take the egg,TRUE
Act One: Creche,Steal a Githyanki Egg 3: Give an egg to Lady Esther or kill her,TRUE
Act One: Creche,Travel through the Mountain Pass 1: Reach the mountain pass,TRUE
Act One: Creche,Travel through the Mountain Pass 2: Talk to Minthara about how to get to Moonrise Towers,FALSE
Act One: Creche,Travel through the Mountain Pass 3: Raid the Grove,FALSE
Act One: Creche,Travel through the Mountain Pass 4: Celebrate at camp after raiding grove,FALSE
Act One: Creche,Travel through the Mountain Pass 5: Take the mountain pass to Act 2,FALSE
Act One: Creche,Find the Githyanki Creche 1: Talk to Zorru in the Grove,TRUE
Act One: Creche,Find the Githyanki Creche 2: Be told of the patrol,TRUE
Act One: Creche,Find the Githyanki Creche 3: Talk to the patrol,TRUE
Act One: Creche,Find the Githyanki Creche 4: Reach the Monastery,TRUE
Act One: Creche,Find the Githyanki Creche 5: Enter the Crèche,TRUE
Act One: Creche,Find the Githyanki Creche 6: Ask about the zaith'isk,TRUE
Act One: Creche,Find the Githyanki Creche 7: Go to the infirmary,TRUE
Act One: Creche,Find the Githyanki Creche 8: Speak to the medical expert,TRUE
Act One: Creche,Find the Githyanki Creche 9: Sit in the zaith'isk,TRUE
Act One: Overground,The Wizard of Waterdeep 1: Have Gale die,FALSE
Act One: Overground,The Wizard of Waterdeep 2: Talk to the projection,FALSE
Act One: Overground,The Wizard of Waterdeep 3: Play the correct melody,FALSE
Act One: Overground,The Wizard of Waterdeep 4: Say the mephit's name,FALSE
Act One: Overground,The Wizard of Waterdeep 5: Resurrect Gale,FALSE
Act One: Overground,Our Fiery Friend 1: Learn about infernal mechanic,TRUE
Act One: Overground,Our Fiery Friend 2: Talk to Dammon about Karlach,TRUE
Act One: Overground,Our Fiery Friend 3: Find infernal iron,TRUE
Act One: Overground,Our Fiery Friend 4: Give infernal iron to Dammon,TRUE
Act Two,Our Fiery Friend 5: Find Dammon in Act 2,TRUE
Act Two,Our Fiery Friend 6: Find Dammon in Act 2,TRUE
Act Two,Our Fiery Friend 7: Second heart upgrade,FALSE
Act One: Overground,The Blade of Frontiers 1: Rescure Counselor Florrick,FALSE
Act Two,The Blade of Frontiers 2: TODO: Revisit,FALSE
Act One: Creche,Discover the History of Prince Orpheus 1: Find an Orpheus book,TRUE
Act One: Creche,Discover the History of Prince Orpheus 2: Read an Opheus book,TRUE
Act One: Creche,Discover the History of Prince Orpheus 3: Read all three Orpheus books,TRUE
Act One: Overground,Embrace Your Potential 1: Find a parasite,TRUE
Act One: Overground,Embrace Your Potential 2: Be told you can use parasites,TRUE
Act One: Overground,Embrace Your Potential 3: Use parasites,FALSE
Act Two: Mindflayer Colony,Embrace Your Potential 4: Commune with the Astral-Touched Tadpole,FALSE
Act One: Overground,Discover the Artefact's Secrets 1: See the artefact work at the Goblin Camp,TRUE
Act One: Creche,Discover the Artefact's Secrets 2: Find the Crèche,TRUE
Act One: Creche,Discover the Artefact's Secrets 3: Enter the Crèche,TRUE
Act One: Creche,Discover the Artefact's Secrets 4: Find the captain,TRUE
Act One: Creche,Discover the Artefact's Secrets 5: Talk to the captain,TRUE
Act One: Creche,Discover the Artefact's Secrets 6: Find the inquisitor,TRUE
Act One: Creche,Discover the Artefact's Secrets 7: Defeat the inquisitor,TRUE
Act One: Creche,Discover the Artefact's Secrets 8: Enter the Astral Prism,TRUE
Act One: Creche,Discover the Artefact's Secrets 9: Find the person in the Astral Prism,TRUE
Act One: Creche,Discover the Artefact's Secrets 10: Leave the Astral Prism,TRUE
